3, 0, 24
24, 2, 12
21, 1, 6
18, 2, 11
22, 3, 1
24, 1, 3
19, 0, 4
21, 2, 17
21, 0, 12
1, 2, 17
6, 2, 16
12, 2, 2
10, 2, 16
20, 3, 24
8, 0, 9
7, 3, 6
12, 1, 5
8, 3, 19
6, 0, 16
16, 0, 10
22, 0, 12
0, 1, 24
8, 2, 6
21, 2, 14
11, 0, 11
2, 3, 8
23, 3, 14
19, 2, 16
16, 0, 9
14, 2, 10
9, 2, 17
9, 0, 12
23, 0, 15
10, 1, 12
0, 3, 1
16, 1, 4
2, 0, 18
25, 3, 9
18, 0, 10
15, 0, 4
6, 2, 2
15, 2, 6
0, 2, 25
24, 1, 8
14, 2, 21
4, 1, 22
15, 1, 1
4, 2, 13
9, 2, 21
16, 0, 22
4, 1, 18
9, 3, 15
3, 1, 6
8, 2, 4
25, 0, 17
19, 1, 7
19, 0, 5
7, 1, 19
23, 3, 1
2, 2, 15
18, 3, 20
5, 3, 1
18, 0, 20
11, 2, 22
21, 3, 6
11, 3, 24
25, 1, 2
20, 2, 12
13, 0, 21
5, 3, 7
16, 0, 20
21, 3, 6
20, 3, 8
12, 0, 18
9, 2, 12
0, 0, 3
19, 0, 24
13, 2, 4
0, 0, 9
20, 3, 20
9, 3, 9
16, 0, 12
3, 3, 24
5, 2, 24
7, 0, 4
9, 3, 14
18, 3, 5
22, 0, 16
7, 3, 10
6, 2, 11
9, 0, 17
10, 2, 9
16, 3, 20
2, 0, 25
6, 1, 16
8, 0, 8
0, 2, 25
8, 1, 16
18, 1, 5
13, 3, 15
